i 200 || Epoch 16 || train loss 0.003759 || val loss 0.005981 || DSC 0.784
i 250 || Epoch 16 || train loss 0.003995 || val loss 0.005771 || DSC 0.791
i 50 || Epoch 17 || train loss 0.004299 || val loss 0.005845 || DSC 0.788
i 100 || Epoch 17 || train loss 0.004503 || val loss 0.005846 || DSC 0.788
i 150 || Epoch 17 || train loss 0.004118 || val loss 0.005964 || DSC 0.791
i 200 || Epoch 17 || train loss 0.003962 || val loss 0.006053 || DSC 0.787
i 250 || Epoch 17 || train loss 0.004279 || val loss 0.005916 || DSC 0.794
i 50 || Epoch 18 || train loss 0.003688 || val loss 0.005889 || DSC 0.789
i 100 || Epoch 18 || train loss 0.003573 || val loss 0.005533 || DSC 0.800
i 150 || Epoch 18 || train loss 0.004834 || val loss 0.006171 || DSC 0.777
i 200 || Epoch 18 || train loss 0.005401 || val loss 0.006285 || DSC 0.775
i 250 || Epoch 18 || train loss 0.003990 || val loss 0.005632 || DSC 0.796
i 50 || Epoch 19 || train loss 0.004648 || val loss 0.005626 || DSC 0.796
i 100 || Epoch 19 || train loss 0.004610 || val loss 0.005556 || DSC 0.802
i 150 || Epoch 19 || train loss 0.004938 || val loss 0.005596 || DSC 0.801
i 200 || Epoch 19 || train loss 0.003753 || val loss 0.005761 || DSC 0.796
i 250 || Epoch 19 || train loss 0.004369 || val loss 0.005448 || DSC 0.804
i 50 || Epoch 20 || train loss 0.003670 || val loss 0.005444 || DSC 0.811
i 100 || Epoch 20 || train loss 0.003588 || val loss 0.005477 || DSC 0.809
i 150 || Epoch 20 || train loss 0.004271 || val loss 0.005649 || DSC 0.794
i 200 || Epoch 20 || train loss 0.003948 || val loss 0.005517 || DSC 0.802
i 250 || Epoch 20 || train loss 0.003140 || val loss 0.005514 || DSC 0.801
i 50 || Epoch 21 || train loss 0.003105 || val loss 0.005743 || DSC 0.786
i 100 || Epoch 21 || train loss 0.003684 || val loss 0.005341 || DSC 0.810
i 150 || Epoch 21 || train loss 0.003574 || val loss 0.005629 || DSC 0.794
i 200 || Epoch 21 || train loss 0.004176 || val loss 0.005345 || DSC 0.811
i 250 || Epoch 21 || train loss 0.003748 || val loss 0.005460 || DSC 0.806
i 50 || Epoch 22 || train loss 0.004087 || val loss 0.005328 || DSC 0.808
i 100 || Epoch 22 || train loss 0.004358 || val loss 0.005451 || DSC 0.805
i 150 || Epoch 22 || train loss 0.003171 || val loss 0.005335 || DSC 0.804
i 200 || Epoch 22 || train loss 0.003266 || val loss 0.005409 || DSC 0.795
i 250 || Epoch 22 || train loss 0.004222 || val loss 0.005447 || DSC 0.802
i 50 || Epoch 23 || train loss 0.004073 || val loss 0.005517 || DSC 0.801
i 100 || Epoch 23 || train loss 0.003337 || val loss 0.005388 || DSC 0.811
i 150 || Epoch 23 || train loss 0.004367 || val loss 0.005288 || DSC 0.814
i 200 || Epoch 23 || train loss 0.003235 || val loss 0.005326 || DSC 0.804
i 250 || Epoch 23 || train loss 0.004224 || val loss 0.005621 || DSC 0.803
